PERMNO,date,PRC,RET
86755,20080102,50.45,-0.015033
86755,20080103,50.62,0.00337
86755,20080104,48.4,-0.043856
86755,20080107,48.17,-0.004752
86755,20080108,46.92,-0.02595
86755,20080109,47.92,0.021313
86755,20080110,47.99,0.001461
86755,20080111,47.05,-0.019587
86755,20080114,47.87,0.017428
86755,20080115,46.55,-0.027575
86755,20080116,46.05,-0.010741
86755,20080117,45.41,-0.013898
86755,20080118,45.35,-0.001321
86755,20080122,44.18,-0.025799
86755,20080123,44.02,-0.003622
86755,20080124,44.91,0.020218
86755,20080125,43.99,-0.020485
86755,20080128,44.33,0.007729
86755,20080129,44.41,0.001805
86755,20080130,44.37,-0.000901
86755,20080131,45.13,0.017129
86755,20080201,45.5899,0.010191
86755,20080204,44.95,-0.014036
86755,20080205,43.6699,-0.028478
86755,20080206,42.81,-0.019691
86755,20080207,43.11,0.007008
86755,20080208,43.6,0.011366
86755,20080211,44.07,0.01078
86755,20080212,43.82,-0.005673
86755,20080213,44.78,0.021908
86755,20080214,43.97,-0.018088
86755,20080215,43.82,-0.003411
86755,20080219,43.74,-0.001826
86755,20080220,43.94,0.004572
86755,20080221,43.52,-0.009558
86755,20080222,43.68,0.003676
86755,20080225,43.9,0.005037
86755,20080226,44.07,0.003872
86755,20080227,44.29,0.004992
86755,20080228,44.12,-0.003838
86755,20080229,42.95,-0.026519
86755,20080303,42.67,-0.006519
86755,20080304,42.91,0.005625
86755,20080305,43.1199,0.004892
86755,20080306,42.17,-0.022029
86755,20080307,42.07,-0.002371
86755,20080310,41.26,-0.019254
86755,20080311,42.8301,0.038054
86755,20080312,42.71,-0.002804
86755,20080313,43.04,0.007727
86755,20080314,42.25,-0.018355
86755,20080317,41.48,-0.018225
86755,20080318,43.33,0.0446
86755,20080319,42.26,-0.024694
86755,20080320,43.09,0.02041
86755,20080324,44.5799,0.034576
86755,20080325,44.83,0.00561
86755,20080326,44.7,-0.0029
86755,20080327,43.71,-0.022148
86755,20080328,43.49,-0.005033
86755,20080331,43.72,0.005289
86755,20080401,45.59,0.042772
86755,20080402,45.49,-0.002193
86755,20080403,45.59,0.002198
86755,20080404,45.86,0.005922
86755,20080407,45.76,-0.002181
86755,20080408,45.41,-0.007649
86755,20080409,44.9,-0.011231
86755,20080410,45.54,0.014254
86755,20080411,44.28,-0.027668
86755,20080414,44.08,-0.004517
86755,20080415,44.14,0.001361
86755,20080416,45.37,0.027866
86755,20080417,45.27,-0.002204
86755,20080418,46.71,0.031809
86755,20080421,47.04,0.007065
86755,20080422,46.34,-0.014881
86755,20080423,46.85,0.011006
86755,20080424,47.27,0.008965
86755,20080425,47.15,-0.002539
86755,20080428,47.24,0.001909
86755,20080429,47.6,0.007621
86755,20080430,47.21,-0.008193
86755,20080501,48.7,0.031561
86755,20080502,48.77,0.001437
86755,20080505,48.63,-0.002871
86755,20080506,48.93,0.006169
86755,20080507,48.04,-0.018189
86755,20080508,48.4,0.007494
86755,20080509,48.21,-0.003926
86755,20080512,49.09,0.018253
86755,20080513,49.22,0.002648
86755,20080514,49.11,-0.002235
86755,20080515,49.97,0.017512
86755,20080516,50.0099,0.000798
86755,20080519,49.65,-0.007197
86755,20080520,49.27,-0.007654
86755,20080521,48.18,-0.022123
86755,20080522,48.35,0.003528
86755,20080523,48.2,-0.003102
86755,20080527,49.05,0.017635
86755,20080528,49.25,0.004077
86755,20080529,49.69,0.008934
86755,20080530,50.01,0.00644
86755,20080602,49.4,-0.012197
86755,20080603,49.13,-0.005466
86755,20080604,49.76,0.012823
86755,20080605,50.55,0.015876
86755,20080606,49.03,-0.030069
86755,20080609,48.77,-0.005303
86755,20080610,48.54,-0.004716
86755,20080611,47.38,-0.023898
86755,20080612,47.42,0.000844
86755,20080613,48.37,0.020034
86755,20080616,48.8,0.00889
86755,20080617,48.54,-0.005328
86755,20080618,48.02,-0.010713
86755,20080619,48.77,0.015618
86755,20080620,47.42,-0.026975
86755,20080623,47.05,-0.007803
86755,20080624,46.81,-0.005101
86755,20080625,47.57,0.016236
86755,20080626,45.65,-0.040362
86755,20080627,45.65,0
86755,20080630,45.17,-0.010515
86755,20080701,45.81,0.014169
86755,20080702,44.71,-0.024012
86755,20080703,44.63,-0.001789
86755,20080707,44.9,0.00605
86755,20080708,45.97,0.023831
86755,20080709,44.75,-0.026539
86755,20080710,45.28,0.011844
86755,20080711,44.56,-0.015901
86755,20080714,44.23,-0.007406
86755,20080715,44.24,0.000226
86755,20080716,45.34,0.024864
86755,20080717,45.64,0.006617
86755,20080718,44.59,-0.023006
86755,20080721,44.78,0.004261
86755,20080722,44.78,0
86755,20080723,45.37,0.013176
86755,20080724,44.69,-0.014988
86755,20080725,45.27,0.012978
86755,20080728,44.42,-0.018776
86755,20080729,45.34,0.020711
86755,20080730,45.57,0.005073
86755,20080731,45.46,-0.002414
86755,20080801,44.88,-0.012758
86755,20080804,44.43,-0.010027
86755,20080805,45.93,0.033761
86755,20080806,46.63,0.015241
86755,20080807,46.27,-0.00772
86755,20080808,47.32,0.022693
86755,20080811,47.75,0.009087
86755,20080812,47.8,0.001047
86755,20080813,47.7,-0.002092
86755,20080814,48.25,0.01153
86755,20080815,48.16,-0.001865
86755,20080818,47.6,-0.011628
86755,20080819,47.01,-0.012395
86755,20080820,47.09,0.001702
86755,20080821,46.87,-0.004672
86755,20080822,47.49,0.013228
86755,20080825,46.49,-0.021057
86755,20080826,46.43,-0.001291
86755,20080827,46.73,0.006461
86755,20080828,47.11,0.008132
86755,20080829,46.12,-0.021015
86755,20080902,45.55,-0.012359
86755,20080903,45.12,-0.00944
86755,20080904,43.66,-0.032358
